Region,Province,City_Mun,Storm Name,Category,Days occur,Year, Affected_FAM ,Totally damaged house,Partially damaged house,,Region,,Year,,Region,Province,Municipality,Magnitude,Incident,Year,Affected Population_FAM,Totally House,Partially House,,Cyclone Name,Category,Days cccur,,CYCLONE DATA,,,,,,,EARTHQUAKE DATA,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Camarines Sur,Pili (capital),Tisoy,Typhoon,4 5/8,30/11/2019, 413 ,798,7797,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Camarines Sur,Presentacion (Parubcan),Tisoy,Typhoon,4 5/8,30/11/2019," 2,348 ",129,1279,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Camarines Sur,Ragay,Tisoy,Typhoon,4 5/8,30/11/2019," 1,677 ",42,7,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Camarines Sur,Sagñay,Tisoy,Typhoon,4 5/8,30/11/2019, 648 ,324,3440,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Camarines Sur,San fernando,Tisoy,Typhoon,4 5/8,30/11/2019, 505 ,42,1347,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Camarines Sur,San Jose,Tisoy,Typhoon,4 5/8,30/11/2019," 1,473 ",114,4068,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Camarines Sur,Sipocot,Tisoy,Typhoon,4 5/8,30/11/2019," 2,288 ",136,1382,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Camarines Sur,Siruma,Tisoy,Typhoon,4 5/8,30/11/2019, 902 ,47,783,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Camarines Sur,Tigaon,Tisoy,Typhoon,4 5/8,30/11/2019," 1,264 ",413,6514,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Camarines Sur,Tinambac,Tisoy,Typhoon,4 5/8,30/11/2019," 2,049 ",308,4401,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Catanduanes,Bagamanoc,Tisoy,Typhoon,4 5/8,30/11/2019, 183 ,0,0,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Catanduanes,Baras,Tisoy,Typhoon,4 5/8,30/11/2019, 520 ,0,0,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Catanduanes,Bato,Tisoy,Typhoon,4 5/8,30/11/2019, 435 ,1490,436,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Catanduanes,Caramoran,Tisoy,Typhoon,4 5/8,30/11/2019," 1,700 ",345,43,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Catanduanes,Gigmoto,Tisoy,Typhoon,4 5/8,30/11/2019, 496 ,488,14,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Catanduanes,Pandan,Tisoy,Typhoon,4 5/8,30/11/2019, 636 ,492,19,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Catanduanes,Panganiban (Payo),Tisoy,Typhoon,4 5/8,30/11/2019, 295 ,567,56,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Catanduanes,San Andres (Calolbon),Tisoy,Typhoon,4 5/8,30/11/2019, 335 ,407,28,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Catanduanes,San Miguel,Tisoy,Typhoon,4 5/8,30/11/2019," 1,431 ",1086,27,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Catanduanes,Viga,Tisoy,Typhoon,4 5/8,30/11/2019, 67 ,0,0,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Catanduanes,Virac (capital),Tisoy,Typhoon,4 5/8,30/11/2019, 872 ,0,0,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Masbate,Aroroy,Tisoy,Typhoon,4 5/8,30/11/2019," 8,206 ",2237,9807,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Masbate,Baleno,Tisoy,Typhoon,4 5/8,30/11/2019, 239 ,58,210,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Masbate,Balud,Tisoy,Typhoon,4 5/8,30/11/2019," 1,546 ",22,210,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Masbate,Batuan,Tisoy,Typhoon,4 5/8,30/11/2019, 325 ,144,332,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Masbate,Cataingan,Tisoy,Typhoon,4 5/8,30/11/2019, 708 ,23,342,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Masbate,Cawayan,Tisoy,Typhoon,4 5/8,30/11/2019," 2,920 ",99,625,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Masbate,Claveria,Tisoy,Typhoon,4 5/8,30/11/2019," 4,903 ",698,3721,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Masbate,Dimasalang,Tisoy,Typhoon,4 5/8,30/11/2019, 916 ,39,197,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Masbate,Esperanza,Tisoy,Typhoon,4 5/8,30/11/2019," 1,394 ",0,1394,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Masbate,Mandaon,Tisoy,Typhoon,4 5/8,30/11/2019," 2,590 ",293,2297,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Masbate,City of Masbate (capital),Tisoy,Typhoon,4 5/8,30/11/2019, 669 ,214,1981,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Masbate,Milagros,Tisoy,Typhoon,4 5/8,30/11/2019," 2,972 ",239,1165,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Masbate,Mobo,Tisoy,Typhoon,4 5/8,30/11/2019," 3,215 ",147,1135,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Masbate,Monreal,Tisoy,Typhoon,4 5/8,30/11/2019," 1,801 ",1021,3163,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Masbate,Palanas,Tisoy,Typhoon,4 5/8,30/11/2019, 879 ,79,190,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Masbate,Pio V. Corpuz (Limbuhan),Tisoy,Typhoon,4 5/8,30/11/2019," 1,754 ",1,65,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Masbate,Placer,Tisoy,Typhoon,4 5/8,30/11/2019, 181 ,77,51,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Masbate,San Fernando,Tisoy,Typhoon,4 5/8,30/11/2019," 3,405 ",394,1446,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Masbate,San Jacinto,Tisoy,Typhoon,4 5/8,30/11/2019," 10,891 ",637,2581,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Masbate,San Pascual,Tisoy,Typhoon,4 5/8,30/11/2019," 9,020 ",1384,5327,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Masbate,Uson,Tisoy,Typhoon,4 5/8,30/11/2019, 999 ,95,661,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Sorsogon,Barcelona,Tisoy,Typhoon,4 5/8,30/11/2019," 6,127 ",205,2200,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Sorsogon,Bulan,Tisoy,Typhoon,4 5/8,30/11/2019," 7,002 ",2984,11772,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Sorsogon,Bulusan,Tisoy,Typhoon,4 5/8,30/11/2019," 4,134 ",281,3868,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Sorsogon,Casiguran,Tisoy,Typhoon,4 5/8,30/11/2019," 3,898 ",325,3163,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Sorsogon,Castilla,Tisoy,Typhoon,4 5/8,30/11/2019," 5,747 ",876,1644,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Sorsogon,Donsol,Tisoy,Typhoon,4 5/8,30/11/2019," 1,486 ",1280,5955,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Sorsogon,Gubat,Tisoy,Typhoon,4 5/8,30/11/2019," 1,492 ",651,6593,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Sorsogon,Irosin,Tisoy,Typhoon,4 5/8,30/11/2019," 8,698 ",879,4060,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Sorsogon,Juban,Tisoy,Typhoon,4 5/8,30/11/2019," 2,295 ",393,3069,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Sorsogon,Magallanes,Tisoy,Typhoon,4 5/8,30/11/2019," 7,684 ",789,2966,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Sorsogon,Matnog,Tisoy,Typhoon,4 5/8,30/11/2019," 8,580 ",1387,5805,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Sorsogon,Pilar,Tisoy,Typhoon,4 5/8,30/11/2019," 11,335 ",1840,7160,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Sorsogon,Prieto Diaz,Tisoy,Typhoon,4 5/8,30/11/2019," 5,928 ",589,3381,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Sorsogon,Santa Magdalena,Tisoy,Typhoon,4 5/8,30/11/2019," 1,175 ",251,1799,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Sorsogon,City of Sorsogon (capital),Tisoy,Typhoon,4 5/8,30/11/2019," 13,378 ",2439,12716,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Eastern Samar,Arteche,Tisoy,Typhoon,4 5/8,30/11/2019," 5,250 ",0,0,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Eastern Samar,Can-Avid,Tisoy,Typhoon,4 5/8,30/11/2019," 5,774 ",2,50,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Eastern Samar,Jipapad,Tisoy,Typhoon,4 5/8,30/11/2019," 2,401 ",14,1547,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Eastern Samar,Maslog,Tisoy,Typhoon,4 5/8,30/11/2019," 1,390 ",7,670,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Eastern Samar,Sulat,Tisoy,Typhoon,4 5/8,30/11/2019, 55 ,0,0,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Eastern Samar,Mercedes,Tisoy,Typhoon,4 5/8,30/11/2019, 46 ,0,0,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Northern Samar,Allen,Tisoy,Typhoon,4 5/8,30/11/2019," 7,222 ",761,5568,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Northern Samar,Biri,Tisoy,Typhoon,4 5/8,30/11/2019," 2,490 ",356,2134,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Northern Samar,Bobon,Tisoy,Typhoon,4 5/8,30/11/2019," 6,554 ",568,5696,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Northern Samar,Capul,Tisoy,Typhoon,4 5/8,30/11/2019," 3,180 ",519,2489,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Northern Samar,Catarman (capital),Tisoy,Typhoon,4 5/8,30/11/2019," 22,616 ",946,12678,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Northern Samar,Lavezares,Tisoy,Typhoon,4 5/8,30/11/2019," 6,221 ",775,5494,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Northern Samar,Lope de Vega,Tisoy,Typhoon,4 5/8,30/11/2019," 3,913 ",114,1821,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Northern Samar,Mondragon,Tisoy,Typhoon,4 5/8,30/11/2019," 9,907 ",669,8417,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Northern Samar,Rosario,Tisoy,Typhoon,4 5/8,30/11/2019," 3,746 ",250,2416,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Northern Samar,San Antonio,Tisoy,Typhoon,4 5/8,30/11/2019," 2,665 ",196,1469,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Northern Samar,San Isidro,Tisoy,Typhoon,4 5/8,30/11/2019," 7,527 ",394,5075,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Northern Samar,San Jose,Tisoy,Typhoon,4 5/8,30/11/2019," 2,355 ",394,3901,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Northern Samar,San Vicente,Tisoy,Typhoon,4 5/8,30/11/2019," 2,120 ",55,1070,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Northern Samar,Victoria,Tisoy,Typhoon,4 5/8,30/11/2019," 3,876 ",349,3077,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Northern Samar,Catubig,Tisoy,Typhoon,4 5/8,30/11/2019," 8,804 ",143,7264,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Northern Samar,Gamay,Tisoy,Typhoon,4 5/8,30/11/2019," 4,376 ",211,4385,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Northern Samar,Laoang,Tisoy,Typhoon,4 5/8,30/11/2019," 14,746 ",2101,12220,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Northern Samar,Lapinig,Tisoy,Typhoon,4 5/8,30/11/2019," 3,148 ",53,2609,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Northern Samar,Las Navas,Tisoy,Typhoon,4 5/8,30/11/2019," 9,720 ",237,5287,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Northern Samar,Mapanas,Tisoy,Typhoon,4 5/8,30/11/2019," 2,038 ",73,922,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Northern Samar,Palapag,Tisoy,Typhoon,4 5/8,30/11/2019," 3,724 ",200,6657,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Northern Samar,Pambujan,Tisoy,Typhoon,4 5/8,30/11/2019," 8,124 ",450,6598,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Northern Samar,San Roque,Tisoy,Typhoon,4 5/8,30/11/2019," 7,104 ",731,5140,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Northern Samar,Silvino Lobos,Tisoy,Typhoon,4 5/8,30/11/2019," 3,154 ",0,0,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Samar (Western Samar),Almagro,Tisoy,Typhoon,4 5/8,30/11/2019, 900 ,0,309,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Samar (Western Samar),City of Calbayog,Tisoy,Typhoon,4 5/8,30/11/2019, 100 ,0,0,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Samar (Western Samar),Gandara,Tisoy,Typhoon,4 5/8,30/11/2019, 95 ,17,78,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Samar (Western Samar),Matuguinao,Tisoy,Typhoon,4 5/8,30/11/2019," 1,296 ",114,1212,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Samar (Western Samar),Pagsanghan,Tisoy,Typhoon,4 5/8,30/11/2019, 962 ,34,829,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Samar (Western Samar),San Jorge,Tisoy,Typhoon,4 5/8,30/11/2019," 3,991 ",85,3246,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Samar (Western Samar),Santa Margarita,Tisoy,Typhoon,4 5/8,30/11/2019," 3,907 ",135,1414,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Samar (Western Samar),SANTO NIÑO,Tisoy,Typhoon,4 5/8,30/11/2019, 835 ,34,801,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Samar (Western Samar),Tagapul-an,Tisoy,Typhoon,4 5/8,30/11/2019," 2,380 ",11,324,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Samar (Western Samar),Tarangnan,Tisoy,Typhoon,4 5/8,30/11/2019," 2,920 ",33,1003,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Samar (Western Samar),Daram,Tisoy,Typhoon,4 5/8,30/11/2019, 352 ,0,352,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Samar (Western Samar),Jiabong,Tisoy,Typhoon,4 5/8,30/11/2019," 4,126 ",1,4,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Samar (Western Samar),Motiong,Tisoy,Typhoon,4 5/8,30/11/2019, 863 ,6,857,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Samar (Western Samar),Pinabacdao,Tisoy,Typhoon,4 5/8,30/11/2019, 4 ,0,4,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Samar (Western Samar),CITY OF CATBALOGAN (Capital),Tisoy,Typhoon,4 5/8,30/11/2019, -   ,3,25,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION XIII (Caraga),Surigao Del Sur,CITY OF TANDAG (Capital),Tisoy,Typhoon,4 5/8,30/11/2019, 12 ,3,9,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORDILLERA ADMINISTRATIVE REGION (CAR),Mountain Province,Bauko,Tisoy,Typhoon,4 5/8,30/11/2019, 2 ,0,1,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAROPA REGION,Marinduque,GASAN,Ursula,Typhoon,5 2/7,23/12/2019, 3 ,0,0,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAROPA REGION,Occidental Mindoro,CALINTAAN,Ursula,Typhoon,5 2/7,23/12/2019," 2,384 ",177,2092,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAROPA REGION,Occidental Mindoro,LOOC,Ursula,Typhoon,5 2/7,23/12/2019, 15 ,0,0,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAROPA REGION,Occidental Mindoro,MAGSAYSAY,Ursula,Typhoon,5 2/7,23/12/2019," 5,078 ",1335,4480,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAROPA REGION,Occidental Mindoro,RIZAL,Ursula,Typhoon,5 2/7,23/12/2019," 2,752 ",499,2283,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAROPA REGION,Occidental Mindoro,SAN JOSE,Ursula,Typhoon,5 2/7,23/12/2019," 13,429 ",2708,11385,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAROPA REGION,Oriental Mindoro,BACO,Ursula,Typhoon,5 2/7,23/12/2019, 262 ,0,0,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAROPA REGION,Oriental Mindoro,BANSUD,Ursula,Typhoon,5 2/7,23/12/2019, 109 ,0,0,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAROPA REGION,Oriental Mindoro,BONGABONG,Ursula,Typhoon,5 2/7,23/12/2019, 144 ,0,0,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAROPA REGION,Oriental Mindoro,BULALACAO (SAN PEDRO),Ursula,Typhoon,5 2/7,23/12/2019," 2,462 ",1592,5523,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAROPA REGION,Oriental Mindoro,CITY OF CALAPAN (CAPITAL),Ursula,Typhoon,5 2/7,23/12/2019, 85 ,0,0,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAROPA REGION,Oriental Mindoro,GLORIA,Ursula,Typhoon,5 2/7,23/12/2019, 168 ,0,0,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
